                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.88502,                 1.7842,                 0.8249,                 1.2193,                0.89234,                0.75977,                 0.8281,                0.62186,                0.88532,                0.73653,                 0.7984,                0.53587,                0.82475,                 2.2371,                0.86039,                 1.1054,              0.0005744,              0.0005744,              0.0005744
                     39,                0.88571,                 1.8252,                 0.8218,                 1.2199,                0.84219,                0.78161,                0.83527,                0.63595,                0.85562,                0.74368,                0.80511,                0.54912,                0.80326,                 2.1762,                0.87069,                 1.0845,              0.0005348,              0.0005348,              0.0005348
                     40,                0.87884,                 1.7931,                 0.8137,                 1.2092,                0.89961,                 0.7828,                0.84331,                0.63998,                0.89098,                0.75977,                0.81213,                0.55017,                0.81588,                 2.1718,                0.82721,                 1.1062,              0.0004952,              0.0004952,              0.0004952
                     41,                0.84226,                 1.7694,                0.76248,                 1.2804,                 0.9107,                0.75026,                0.83664,                 0.6274,                 0.9029,                0.72989,                0.80476,                0.54039,                0.81951,                 2.2728,                0.83085,                 1.1237,              0.0004556,              0.0004556,              0.0004556
                     42,                0.80799,                 1.6976,                0.71098,                 1.2653,                0.91098,                0.75747,                0.84173,                0.64243,                0.92093,                0.73678,                0.80905,                0.54681,                 0.8189,                 2.2046,                0.82476,                 1.1138,               0.000416,               0.000416,               0.000416
                     43,                0.79446,                 1.7074,                0.70428,                 1.2515,                0.89542,                0.78391,                0.84648,                0.63686,                0.88882,                0.75977,                0.81221,                0.54938,                0.80144,                 2.1842,                0.80506,                 1.0955,              0.0003764,              0.0003764,              0.0003764
                     44,                0.78724,                 1.6639,                0.68163,                  1.249,                0.90133,                0.76651,                0.84258,                0.63581,                0.89064,                0.75057,                0.80742,                0.54926,                0.81594,                 2.2037,                0.79211,                 1.1101,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.7786,                 1.6668,                0.68291,                 1.2353,                0.89597,                 0.7722,                0.84292,                 0.6389,                0.87451,                0.75295,                0.80276,                0.54211,                 0.8014,                  2.233,                0.77946,                 1.1053,              0.0002972,              0.0002972,              0.0002972
                     46,                0.76613,                 1.6237,                0.65358,                 1.2295,                0.88397,                0.77701,                0.84524,                0.64222,                0.90218,                0.75057,                0.81783,                0.56052,                0.79699,                  2.196,                0.77499,                 1.0949,              0.0002576,              0.0002576,              0.0002576
                     47,                0.76001,                 1.6413,                0.65781,                 1.2228,                 0.9129,                0.78391,                0.84834,                0.63975,                 0.8886,                0.76097,                0.81367,                0.53074,                0.80339,                 2.2305,                0.76288,                 1.1183,               0.000218,               0.000218,               0.000218
                     48,                0.74965,                 1.6215,                0.63116,                 1.2175,                0.90899,                0.78063,                0.84825,                 0.6433,                0.90162,                0.74795,                0.80755,                0.54728,                0.80764,                 2.2104,                0.76131,                 1.1132,              0.0001784,              0.0001784,              0.0001784
                     49,                0.74021,                 1.6044,                0.62021,                  1.213,                0.87257,                 0.7931,                0.84875,                0.64888,                0.87067,                0.77011,                0.81441,                0.56092,                0.79747,                 2.1711,                0.75599,                 1.1032,              0.0001388,              0.0001388,              0.0001388
                     50,                0.74102,                 1.5896,                0.61834,                 1.2147,                0.91725,                0.75632,                0.84404,                 0.6462,                0.87232,                0.76177,                0.80684,                0.54866,                0.79084,                 2.2061,                0.74973,                 1.1015,               9.92e-05,               9.92e-05,               9.92e-05
